,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
121,0 days 00:30:18.226000,HAD,6,,6.0,3.0,0 days 00:28:09.663000,,,35.577,62.719,,0 days 00:29:15.664000,0 days 00:30:18.580000,230.0,236.0,272.0,285.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:24:11.350000,2025-03-22 07:11:16.857,1,,False,,False,False,,
122,0 days 00:31:49.388000,HAD,6,0 days 00:01:31.162000,7.0,3.0,,,24.234,27.268,39.66,0 days 00:30:42.460000,0 days 00:31:09.728000,0 days 00:31:49.388000,284.0,278.0,270.0,330.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:30:18.226000,2025-03-22 07:17:23.733,1,,False,,False,True,91.162,91.162
123,0 days 00:33:56.484000,HAD,6,0 days 00:02:07.096000,8.0,3.0,,0 days 00:33:54.745000,30.428,37.391,59.277,0 days 00:32:19.816000,0 days 00:32:57.207000,0 days 00:33:56.484000,226.0,222.0,,234.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:31:49.388000,2025-03-22 07:18:54.895,12,,False,,False,False,127.096,127.096
124,0 days 00:41:44.993000,HAD,6,,9.0,4.0,0 days 00:39:48.465000,,,35.779,49.1,,0 days 00:40:55.915000,0 days 00:41:45.024000,224.0,227.0,271.0,267.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:33:56.484000,2025-03-22 07:21:01.991,21,,False,,False,False,,
125,0 days 00:43:16.825000,HAD,6,0 days 00:01:31.832000,10.0,4.0,,,24.286,27.754,39.792,0 days 00:42:09.279000,0 days 00:42:37.033000,0 days 00:43:16.825000,284.0,275.0,271.0,329.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:41:44.993000,2025-03-22 07:28:50.500,1,,False,,False,True,91.832,91.83200000000001
126,0 days 00:45:15.909000,HAD,6,0 days 00:01:59.084000,11.0,4.0,,0 days 00:45:12.748000,29.989,34.342,54.753,0 days 00:43:46.814000,0 days 00:44:21.156000,0 days 00:45:15.909000,242.0,240.0,,278.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:43:16.825000,2025-03-22 07:30:22.332,1,,False,,False,False,119.084,119.084
127,0 days 00:51:07.799000,HAD,6,,12.0,5.0,0 days 00:49:09.680000,,,35.683,49.878,,0 days 00:50:18.112000,0 days 00:51:08.051000,213.0,224.0,270.0,263.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:45:15.909000,2025-03-22 07:32:21.416,1,,False,,False,False,,
128,0 days 00:52:39.052000,HAD,6,0 days 00:01:31.253000,13.0,5.0,,,24.127,27.254,39.872,0 days 00:51:31.926000,0 days 00:51:59.180000,0 days 00:52:39.052000,285.0,278.0,271.0,330.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:51:07.799000,2025-03-22 07:38:13.306,1,,False,,False,True,91.253,91.253
129,0 days 00:54:42.624000,HAD,6,0 days 00:02:03.572000,14.0,5.0,,0 days 00:54:40.919000,31.102,34.506,57.964,0 days 00:53:10.154000,0 days 00:53:44.660000,0 days 00:54:42.624000,236.0,236.0,,232.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:52:39.052000,2025-03-22 07:39:44.559,1,,False,,False,False,123.572,123.572
130,0 days 01:03:08.924000,HAD,6,,15.0,6.0,0 days 01:01:15.361000,,,33.422,48.581,,0 days 01:02:20.343000,0 days 01:03:09.034000,217.0,231.0,271.0,273.0,False,SOFT,4.0,False,Racing Bulls,0 days 00:54:42.624000,2025-03-22 07:41:48.131,12,,False,,False,False,,
131,0 days 01:04:40.372000,HAD,6,0 days 00:01:31.448000,16.0,6.0,,,24.287,27.315,39.846,0 days 01:03:33.211000,0 days 01:04:00.526000,0 days 01:04:40.372000,285.0,278.0,269.0,329.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:03:08.924000,2025-03-22 07:50:14.431,1,,False,,False,True,91.448,91.44800000000001
132,0 days 01:06:36.222000,HAD,6,0 days 00:01:55.850000,17.0,6.0,,0 days 01:06:34.549000,32.188,32.619,51.043,0 days 01:05:12.560000,0 days 01:05:45.179000,0 days 01:06:36.222000,253.0,248.0,,276.0,False,SOFT,6.0,False,Racing Bulls,0 days 01:04:40.372000,2025-03-22 07:51:45.879,1,,False,,False,False,115.85,115.85
133,0 days 01:11:07.543000,HAD,6,,18.0,7.0,0 days 01:09:07.572000,,,35.517,52.272,,0 days 01:10:15.271000,0 days 01:11:07.810000,217.0,234.0,273.0,255.0,False,SOFT,1.0,True,Racing Bulls,0 days 01:06:36.222000,2025-03-22 07:53:41.729,1,,False,,False,False,,
134,0 days 01:12:38.622000,HAD,6,0 days 00:01:31.079000,19.0,7.0,,,24.16,27.213,39.706,0 days 01:11:31.703000,0 days 01:11:58.916000,0 days 01:12:38.622000,284.0,277.0,270.0,331.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:11:07.543000,2025-03-22 07:58:13.050,1,,False,,False,True,91.079,91.07900000000001
135,0 days 01:14:46.853000,HAD,6,,20.0,7.0,,0 days 01:14:46.853000,32.914,34.511,,0 days 01:13:11.607000,0 days 01:13:46.057000,,245.0,217.0,,208.0,False,SOFT,3.0,True,Racing Bulls,0 days 01:12:38.622000,2025-03-22 07:59:44.129,1,,False,,False,False,,
136,0 days 00:17:54.950000,ANT,12,,1.0,1.0,0 days 00:16:05.840000,,,33.73,44.705,,0 days 00:17:10.375000,0 days 00:17:54.950000,219.0,247.0,269.0,295.0,False,SOFT,4.0,False,Mercedes,0 days 00:16:05.840000,2025-03-22 07:03:11.347,12,,False,,False,False,,
137,0 days 00:19:27.200000,ANT,12,0 days 00:01:32.250000,2.0,1.0,,,24.419,27.715,40.116,0 days 00:18:19.369000,0 days 00:18:47.084000,0 days 00:19:27.200000,283.0,277.0,265.0,332.0,True,SOFT,5.0,False,Mercedes,0 days 00:17:54.950000,2025-03-22 07:05:00.457,1,,False,,False,True,92.25,92.25
138,0 days 00:21:27.118000,ANT,12,0 days 00:01:59.918000,3.0,1.0,,0 days 00:21:23.969000,29.457,37.158,53.303,0 days 00:19:56.657000,0 days 00:20:33.815000,0 days 00:21:27.118000,220.0,250.0,,304.0,False,SOFT,6.0,False,Mercedes,0 days 00:19:27.200000,2025-03-22 07:06:32.707,1,,False,,False,False,119.918,119.918
139,0 days 00:24:30.074000,ANT,12,,4.0,2.0,0 days 00:22:30.340000,,99.178,34.827,48.936,0 days 00:23:06.345000,0 days 00:23:41.205000,0 days 00:24:30.281000,260.0,209.0,271.0,297.0,False,SOFT,1.0,True,Mercedes,0 days 00:21:27.118000,2025-03-22 07:08:32.625,1,,False,,False,False,,182.941
140,0 days 00:26:01.750000,ANT,12,0 days 00:01:31.676000,5.0,2.0,,,24.179,27.69,39.807,0 days 00:24:54.253000,0 days 00:25:21.943000,0 days 00:26:01.750000,285.0,277.0,270.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 00:24:30.074000,2025-03-22 07:11:35.581,1,,False,,False,True,91.676,91.676
141,0 days 00:28:08.977000,ANT,12,0 days 00:02:07.227000,6.0,2.0,,,32.469,39.008,55.75,0 days 00:26:34.219000,0 days 00:27:13.227000,0 days 00:28:08.977000,192.0,211.0,78.0,260.0,False,SOFT,3.0,True,Mercedes,0 days 00:26:01.750000,2025-03-22 07:13:07.257,1,,False,,False,True,127.227,127.227
142,0 days 00:30:41.303000,ANT,12,,7.0,2.0,,,44.296,38.921,69.129,0 days 00:28:53.329000,0 days 00:29:32.298000,0 days 00:30:41.617000,213.0,193.0,270.0,263.0,False,SOFT,4.0,True,Mercedes,0 days 00:28:08.977000,2025-03-22 07:15:14.484,1,,False,,False,False,,152.346
143,0 days 00:32:13.216000,ANT,12,0 days 00:01:31.913000,8.0,2.0,,,24.272,27.979,39.662,0 days 00:31:05.575000,0 days 00:31:33.554000,0 days 00:32:13.216000,284.0,277.0,271.0,332.0,False,SOFT,5.0,True,Mercedes,0 days 00:30:41.303000,2025-03-22 07:17:46.810,1,,False,,False,True,91.913,91.913
144,0 days 00:34:17.160000,ANT,12,0 days 00:02:03.944000,9.0,2.0,,0 days 00:34:15.335000,30.538,36.107,57.299,0 days 00:32:43.754000,0 days 00:33:19.861000,0 days 00:34:17.160000,203.0,213.0,,223.0,False,SOFT,6.0,True,Mercedes,0 days 00:32:13.216000,2025-03-22 07:19:18.723,12,,False,,False,False,123.944,123.94399999999999
145,0 days 00:41:20.764000,ANT,12,,10.0,3.0,0 days 00:39:17.035000,,,35.394,53.512,,0 days 00:40:27.355000,0 days 00:41:20.868000,262.0,252.0,270.0,313.0,False,SOFT,4.0,False,Mercedes,0 days 00:34:17.160000,2025-03-22 07:21:22.667,21,,False,,False,False,,
