,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
31,0 days 00:23:04.255000,PIA,81,0 days 00:02:21.861000,4.0,1.0,,0 days 00:23:00.925000,36.805,37.458,67.598,0 days 00:21:19.199000,0 days 00:21:56.657000,0 days 00:23:04.255000,228.0,223.0,,104.0,False,MEDIUM,4.0,True,McLaren,0 days 00:20:42.394000,2025-03-21 07:38:14.714,1,,False,,False,False,141.861,141.861
32,0 days 00:34:05.828000,PIA,81,,5.0,2.0,0 days 00:32:10.109000,,,32.932,47.569,,0 days 00:33:18.320000,0 days 00:34:05.906000,259.0,249.0,270.0,310.0,False,MEDIUM,1.0,True,McLaren,0 days 00:23:04.255000,2025-03-21 07:40:36.575,12,,False,,False,False,,
33,0 days 00:36:05.593000,PIA,81,0 days 00:01:59.765000,6.0,2.0,,,28.938,39.077,51.75,0 days 00:34:34.766000,0 days 00:35:13.843000,0 days 00:36:05.593000,215.0,219.0,269.0,225.0,True,MEDIUM,2.0,True,McLaren,0 days 00:34:05.828000,2025-03-21 07:51:38.148,1,,False,,False,True,119.765,119.765
34,0 days 00:37:36.955000,PIA,81,0 days 00:01:31.362000,7.0,2.0,,,24.323,27.566,39.473,0 days 00:36:29.916000,0 days 00:36:57.482000,0 days 00:37:36.955000,280.0,276.0,269.0,332.0,True,MEDIUM,3.0,True,McLaren,0 days 00:36:05.593000,2025-03-21 07:53:37.913,1,,False,,False,True,91.362,91.362
35,0 days 00:39:46.508000,PIA,81,0 days 00:02:09.553000,8.0,2.0,,0 days 00:39:44.768000,36.228,37.109,56.216,0 days 00:38:13.183000,0 days 00:38:50.292000,0 days 00:39:46.508000,205.0,230.0,,279.0,False,MEDIUM,4.0,True,McLaren,0 days 00:37:36.955000,2025-03-21 07:55:09.275,1,,False,,False,False,129.553,129.553
36,0 days 00:50:37.420000,PIA,81,,9.0,3.0,0 days 00:48:47.231000,,,33.732,48.773,,0 days 00:49:48.823000,0 days 00:50:37.470000,254.0,243.0,269.0,311.0,False,SOFT,1.0,True,McLaren,0 days 00:39:46.508000,2025-03-21 07:57:18.828,12,,False,,False,False,,
37,0 days 00:52:08.349000,PIA,81,0 days 00:01:30.929000,10.0,3.0,,,24.297,27.317,39.315,0 days 00:51:01.717000,0 days 00:51:29.034000,0 days 00:52:08.349000,280.0,276.0,269.0,331.0,True,SOFT,2.0,True,McLaren,0 days 00:50:37.420000,2025-03-21 08:08:09.740,1,,False,,False,True,90.929,90.929
38,0 days 00:54:18.856000,PIA,81,0 days 00:02:10.507000,11.0,3.0,,,39.544,38.355,52.608,0 days 00:52:47.893000,0 days 00:53:26.248000,0 days 00:54:18.856000,196.0,213.0,271.0,219.0,False,SOFT,3.0,True,McLaren,0 days 00:52:08.349000,2025-03-21 08:09:40.669,1,,False,,False,True,130.507,130.507
39,0 days 00:55:49.796000,PIA,81,0 days 00:01:30.940000,12.0,3.0,,,24.248,27.447,39.245,0 days 00:54:43.104000,0 days 00:55:10.551000,0 days 00:55:49.796000,280.0,276.0,272.0,332.0,False,SOFT,4.0,True,McLaren,0 days 00:54:18.856000,2025-03-21 08:11:51.176,1,,False,,False,True,90.94,90.94
40,0 days 00:57:57.309000,PIA,81,0 days 00:02:07.513000,13.0,3.0,,0 days 00:57:53.957000,29.456,37.735,60.322,0 days 00:56:19.252000,0 days 00:56:56.987000,0 days 00:57:57.309000,214.0,155.0,,222.0,False,SOFT,5.0,True,McLaren,0 days 00:55:49.796000,2025-03-21 08:13:22.116,1,,False,,False,False,127.513,127.513
41,0 days 00:16:05.454000,HAM,44,,1.0,1.0,0 days 00:14:05.110000,,,34.593,47.85,,0 days 00:15:17.612000,0 days 00:16:05.454000,254.0,241.0,266.0,307.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:14:05.110000,2025-03-21 07:31:37.430,1,,False,,False,False,,
42,0 days 00:17:37.683000,HAM,44,0 days 00:01:32.229000,2.0,1.0,,,24.608,27.763,39.858,0 days 00:16:30.062000,0 days 00:16:57.825000,0 days 00:17:37.683000,281.0,277.0,266.0,332.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:05.454000,2025-03-21 07:33:37.774,1,,False,,False,True,92.229,92.229
43,0 days 00:19:52.279000,HAM,44,0 days 00:02:14.596000,3.0,1.0,,0 days 00:19:48.774000,34.163,39.492,60.941,0 days 00:18:11.846000,0 days 00:18:51.338000,0 days 00:19:52.279000,200.0,224.0,,297.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:37.683000,2025-03-21 07:35:10.003,1,,False,,False,False,134.596,134.596
44,0 days 00:23:55.332000,HAM,44,,4.0,2.0,0 days 00:21:54.142000,,,36.462,50.328,,0 days 00:23:05.144000,0 days 00:23:55.643000,252.0,245.0,266.0,292.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:19:52.279000,2025-03-21 07:37:24.599,1,,False,,False,False,,
45,0 days 00:25:26.544000,HAM,44,0 days 00:01:31.212000,5.0,2.0,,,24.415,27.428,39.369,0 days 00:24:19.747000,0 days 00:24:47.175000,0 days 00:25:26.544000,280.0,276.0,272.0,335.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:23:55.332000,2025-03-21 07:41:27.652,1,,False,,False,True,91.212,91.212
