,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
104,0 days 00:51:09.211000,DOO,7,0 days 00:01:33.923000,11.0,2.0,,,24.881,28.265,40.777,0 days 00:50:00.169000,0 days 00:50:28.434000,0 days 00:51:09.211000,274.0,270.0,266.0,330.0,True,MEDIUM,11.0,False,Alpine,0 days 00:49:35.288000,2025-03-21 04:05:07.636,1,,False,,False,True,93.923,93.923
105,0 days 00:53:09.222000,DOO,7,0 days 00:02:00.011000,12.0,2.0,,,29.863,45.768,44.38,0 days 00:51:39.074000,0 days 00:52:24.842000,0 days 00:53:09.222000,138.0,222.0,256.0,302.0,False,MEDIUM,12.0,False,Alpine,0 days 00:51:09.211000,2025-03-21 04:06:41.559,1,,False,,False,True,120.011,120.011
106,0 days 00:54:45.953000,DOO,7,0 days 00:01:36.731000,13.0,2.0,,,25.875,28.965,41.891,0 days 00:53:35.097000,0 days 00:54:04.062000,0 days 00:54:45.953000,269.0,263.0,259.0,305.0,False,MEDIUM,13.0,False,Alpine,0 days 00:53:09.222000,2025-03-21 04:08:41.570,1,,False,,False,True,96.731,96.731
107,0 days 00:56:22.808000,DOO,7,0 days 00:01:36.855000,14.0,2.0,,,25.697,29.207,41.951,0 days 00:55:11.650000,0 days 00:55:40.857000,0 days 00:56:22.808000,,262.0,256.0,303.0,False,MEDIUM,14.0,False,Alpine,0 days 00:54:45.953000,2025-03-21 04:10:18.301,1,,False,,False,True,96.855,96.85499999999999
108,0 days 00:58:00.393000,DOO,7,0 days 00:01:37.585000,15.0,2.0,,,26.208,29.364,42.013,0 days 00:56:49.016000,0 days 00:57:18.380000,0 days 00:58:00.393000,265.0,261.0,256.0,305.0,False,MEDIUM,15.0,False,Alpine,0 days 00:56:22.808000,2025-03-21 04:11:55.156,1,,False,,False,True,97.585,97.58500000000001
109,0 days 00:59:37.426000,DOO,7,0 days 00:01:37.033000,16.0,2.0,,,26.153,29.126,41.754,0 days 00:58:26.546000,0 days 00:58:55.672000,0 days 00:59:37.426000,269.0,265.0,256.0,310.0,False,MEDIUM,16.0,False,Alpine,0 days 00:58:00.393000,2025-03-21 04:13:32.741,1,,False,,False,True,97.033,97.03299999999999
110,0 days 01:05:19.740000,DOO,7,,17.0,2.0,,0 days 01:05:19.740000,26.144,,,0 days 01:00:03.805000,,,267.0,,,,False,MEDIUM,17.0,False,Alpine,0 days 00:59:37.426000,2025-03-21 04:15:09.774,125,,False,,False,False,,
111,0 days 00:17:09.468000,GAS,10,,1.0,1.0,0 days 00:14:55.659000,,,34.811,63.271,,0 days 00:16:06.468000,0 days 00:17:09.551000,264.0,252.0,257.0,335.0,False,MEDIUM,1.0,True,Alpine,0 days 00:14:55.659000,2025-03-21 03:30:28.007,1,,False,,False,False,,
112,0 days 00:18:45.042000,GAS,10,0 days 00:01:35.574000,2.0,1.0,,,25.488,28.97,41.116,0 days 00:17:34.956000,0 days 00:18:03.926000,0 days 00:18:45.042000,271.0,265.0,258.0,331.0,True,MEDIUM,2.0,True,Alpine,0 days 00:17:09.468000,2025-03-21 03:32:41.816,1,,False,,False,True,95.574,95.574
113,0 days 00:21:19.118000,GAS,10,,3.0,1.0,,,40.495,54.198,59.252,0 days 00:19:25.806000,0 days 00:20:19.940000,0 days 00:21:19.118000,127.0,129.0,262.0,261.0,False,MEDIUM,3.0,True,Alpine,0 days 00:18:45.042000,2025-03-21 03:34:17.390,1,,False,,False,False,,153.945
