,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:51.339000,VER,1,,1.0,1.0,0 days 00:15:40.724000,,,60.664,23.599,,0 days 00:17:27.905000,0 days 00:17:51.412000,243.0,236.0,268.0,224.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:40.724000,2025-04-04 02:30:43.208,1,,False,,False,False,,
1,0 days 00:19:22.077000,VER,1,0 days 00:01:30.738000,2.0,1.0,,,31.57,41.266,17.902,0 days 00:18:22.909000,0 days 00:19:04.175000,0 days 00:19:22.077000,276.0,303.0,268.0,304.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:51.339000,2025-04-04 02:32:53.823,1,,False,,False,True,90.738,90.738
2,0 days 00:22:20.899000,VER,1,,3.0,1.0,,,67.148,80.79,30.984,0 days 00:20:29.468000,0 days 00:21:49.940000,0 days 00:22:21.057000,137.0,215.0,270.0,207.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:22.077000,2025-04-04 02:34:24.561,1,,False,,False,False,,178.922
3,0 days 00:23:50.589000,VER,1,0 days 00:01:29.690000,4.0,1.0,,,31.066,40.904,17.72,0 days 00:22:51.965000,0 days 00:23:32.869000,0 days 00:23:50.589000,280.0,305.0,270.0,305.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:22:20.899000,2025-04-04 02:37:23.383,1,,False,,False,True,89.69,89.69
4,0 days 00:26:20.118000,VER,1,0 days 00:02:29.529000,5.0,1.0,,0 days 00:26:18.912000,53.131,66.143,30.255,0 days 00:24:43.720000,0 days 00:25:49.863000,0 days 00:26:20.118000,136.0,159.0,,182.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:23:50.589000,2025-04-04 02:38:53.073,1,,False,,False,False,149.529,149.529
5,0 days 00:35:31.526000,VER,1,,6.0,2.0,0 days 00:33:33.675000,,,52.418,20.668,,0 days 00:35:10.873000,0 days 00:35:32.705000,214.0,207.0,268.0,253.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:26:20.118000,2025-04-04 02:41:22.602,1,,False,,False,False,,
6,0 days 00:37:01.052000,VER,1,0 days 00:01:29.526000,7.0,2.0,,,31.06,40.766,17.7,0 days 00:36:02.586000,0 days 00:36:43.352000,0 days 00:37:01.052000,278.0,303.0,269.0,302.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:35:31.526000,2025-04-04 02:50:34.010,1,,False,,False,True,89.526,89.526
7,0 days 00:38:51.688000,VER,1,0 days 00:01:50.636000,8.0,2.0,,0 days 00:38:50.216000,44.094,44.368,22.174,0 days 00:37:45.146000,0 days 00:38:29.514000,0 days 00:38:51.688000,258.0,280.0,,282.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:37:01.052000,2025-04-04 02:52:03.536,1,,False,,False,False,110.636,110.636
8,0 days 00:47:14.468000,VER,1,,9.0,3.0,0 days 00:45:09.148000,,,58.46,20.794,,0 days 00:46:53.962000,0 days 00:47:14.474000,176.0,192.0,271.0,230.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:38:51.688000,2025-04-04 02:53:54.172,1,,False,,False,False,,
9,0 days 00:48:43.533000,VER,1,0 days 00:01:29.065000,10.0,3.0,,,30.95,40.619,17.496,0 days 00:47:45.418000,0 days 00:48:26.037000,0 days 00:48:43.533000,278.0,303.0,270.0,304.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:47:14.468000,2025-04-04 03:02:16.952,1,,False,,False,True,89.065,89.065
10,0 days 00:51:02.404000,VER,1,0 days 00:02:18.871000,11.0,3.0,,0 days 00:51:01.118000,50.68,57.426,30.765,0 days 00:49:34.213000,0 days 00:50:31.639000,0 days 00:51:02.404000,198.0,257.0,,206.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:48:43.533000,2025-04-04 03:03:46.017,1,,False,,False,False,138.871,138.87099999999998
