,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:08.396000,VER,1,,1.0,1.0,0 days 00:17:01.448000,,,52.396,31.875,,0 days 00:18:37.552000,0 days 00:19:08.396000,227.0,279.0,271.0,76.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:01.448000,2025-04-04 06:04:28.946,1,,False,,False,False,,
1,0 days 00:45:53.715000,VER,1,,2.0,1.0,,0 days 00:21:12,31.174,,,0 days 00:19:39.702000,,,279.0,,,,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:08.396000,2025-04-04 06:06:35.894,125,,False,,False,False,,
2,0 days 00:53:39.612000,VER,1,,3.0,2.0,0 days 00:45:53.715000,0 days 00:48:04.513000,,,,,,,,,,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:45:53.715000,2025-04-04 06:33:21.213,125,,False,,False,False,,
3,0 days 00:55:41.850000,VER,1,,4.0,3.0,0 days 00:53:39.612000,,,49.104,25.446,,0 days 00:55:16.519000,0 days 00:55:41.957000,261.0,257.0,272.0,258.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:53:39.612000,2025-04-04 06:41:07.110,1,,False,,False,False,,
4,0 days 00:57:10.520000,VER,1,0 days 00:01:28.670000,5.0,3.0,,,30.737,40.381,17.552,0 days 00:56:12.587000,0 days 00:56:52.968000,0 days 00:57:10.520000,279.0,306.0,269.0,308.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:55:41.850000,2025-04-04 06:43:09.348,1,,False,,False,True,88.67,88.66999999999999
5,0 days 01:07:37.611000,VER,1,,6.0,3.0,,0 days 00:59:00.547000,37.564,44.758,,0 days 00:57:48.135000,0 days 00:58:32.986000,,254.0,282.0,,284.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:57:10.520000,2025-04-04 06:44:38.018,15,,False,,False,False,,
6,0 days 01:09:13.340000,VER,1,,7.0,4.0,0 days 01:07:37.611000,,,43.019,18.133,,0 days 01:08:55.387000,0 days 01:09:13.340000,270.0,300.0,263.0,301.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:07:37.611000,2025-04-04 06:55:05.109,1,,False,,False,False,,
7,0 days 01:10:47.717000,VER,1,0 days 00:01:34.377000,8.0,4.0,,,32.694,42.193,19.49,0 days 01:09:46.034000,0 days 01:10:28.227000,0 days 01:10:47.717000,276.0,302.0,256.0,303.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:09:13.340000,2025-04-04 06:56:40.838,1,,False,,False,True,94.377,94.377
8,0 days 01:12:26.342000,VER,1,,9.0,4.0,,0 days 01:12:26.342000,33.131,42.425,,0 days 01:11:20.919000,0 days 01:12:03.451000,,268.0,302.0,,302.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:10:47.717000,2025-04-04 06:58:15.215,15,,False,,False,False,,
9,0 days 00:18:19.801000,NOR,4,,1.0,1.0,0 days 00:16:26.901000,,,47.64,25.993,,0 days 00:17:53.957000,0 days 00:18:19.801000,260.0,140.0,271.0,164.0,False,MEDIUM,1.0,True,McLaren,0 days 00:16:26.901000,2025-04-04 06:03:54.399,1,,False,,False,False,,
