,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
116,0 days 00:18:14.091000,ALO,14,,1.0,1.0,0 days 00:15:52.586000,0 days 00:18:12.747000,,57.938,30.897,,0 days 00:17:43.387000,0 days 00:18:14.091000,215.0,286.0,,153.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:15:52.586000,2025-04-05 02:30:53.612,1,,False,,False,False,,
117,0 days 00:21:02.479000,ALO,14,,2.0,2.0,0 days 00:18:41.572000,0 days 00:21:01.058000,76.171,62.317,29.812,0 days 00:19:30.401000,0 days 00:20:32.698000,0 days 00:21:02.479000,206.0,285.0,,170.0,False,HARD,1.0,True,Aston Martin,0 days 00:18:14.091000,2025-04-05 02:33:15.117,1,,False,,False,False,,168.3
118,0 days 00:31:56.170000,ALO,14,,3.0,3.0,0 days 00:29:42.576000,,,47.835,21.461,,0 days 00:31:34.814000,0 days 00:31:56.330000,260.0,275.0,269.0,235.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:29:42.576000,2025-04-05 02:44:43.602,1,,False,,False,False,,
119,0 days 00:33:26.558000,ALO,14,0 days 00:01:30.388000,4.0,3.0,,,31.66,41.006,17.722,0 days 00:32:27.830000,0 days 00:33:08.836000,0 days 00:33:26.558000,283.0,297.0,267.0,294.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:31:56.170000,2025-04-05 02:46:57.196,1,,False,,False,True,90.388,90.388
120,0 days 00:35:50.770000,ALO,14,0 days 00:02:24.212000,5.0,3.0,,,54.193,62.589,27.43,0 days 00:34:20.751000,0 days 00:35:23.340000,0 days 00:35:50.770000,200.0,186.0,271.0,143.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:33:26.558000,2025-04-05 02:48:27.584,1,,False,,False,True,144.212,144.212
121,0 days 00:37:20.542000,ALO,14,0 days 00:01:29.772000,6.0,3.0,,,31.343,40.728,17.701,0 days 00:36:22.113000,0 days 00:37:02.841000,0 days 00:37:20.542000,284.0,297.0,267.0,293.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:35:50.770000,2025-04-05 02:50:51.796,1,,False,,False,True,89.772,89.77199999999999
122,0 days 00:39:45.688000,ALO,14,0 days 00:02:25.146000,7.0,3.0,,,52.037,65.679,27.43,0 days 00:38:12.579000,0 days 00:39:18.258000,0 days 00:39:45.688000,247.0,266.0,270.0,151.0,False,MEDIUM,5.0,True,Aston Martin,0 days 00:37:20.542000,2025-04-05 02:52:21.568,1,,False,,False,True,145.146,145.14600000000002
123,0 days 00:41:25.971000,ALO,14,0 days 00:01:40.283000,8.0,3.0,,0 days 00:41:24.538000,31.151,43.216,25.916,0 days 00:40:16.839000,0 days 00:41:00.055000,0 days 00:41:25.971000,286.0,269.0,,241.0,False,MEDIUM,6.0,True,Aston Martin,0 days 00:39:45.688000,2025-04-05 02:54:46.714,1,,False,,False,False,100.283,100.283
124,0 days 00:49:39.728000,ALO,14,,9.0,4.0,0 days 00:47:28.104000,,,54.697,31.645,,0 days 00:49:08.182000,0 days 00:49:39.792000,165.0,276.0,269.0,240.0,False,MEDIUM,7.0,False,Aston Martin,0 days 00:41:25.971000,2025-04-05 02:56:26.997,1,,False,,False,False,,
125,0 days 00:51:10.088000,ALO,14,0 days 00:01:30.360000,10.0,4.0,,,31.531,41.014,17.815,0 days 00:50:11.259000,0 days 00:50:52.273000,0 days 00:51:10.088000,284.0,297.0,267.0,298.0,False,MEDIUM,8.0,False,Aston Martin,0 days 00:49:39.728000,2025-04-05 03:04:40.754,1,,False,,False,True,90.36,90.36
126,0 days 00:53:13.616000,ALO,14,0 days 00:02:03.528000,11.0,4.0,,,50.827,51.412,21.289,0 days 00:52:00.915000,0 days 00:52:52.327000,0 days 00:53:13.616000,178.0,268.0,269.0,219.0,False,MEDIUM,9.0,False,Aston Martin,0 days 00:51:10.088000,2025-04-05 03:06:11.114,1,,False,,False,True,123.528,123.528
127,0 days 00:54:43.998000,ALO,14,0 days 00:01:30.382000,12.0,4.0,,,31.545,41.006,17.831,0 days 00:53:45.161000,0 days 00:54:26.167000,0 days 00:54:43.998000,285.0,293.0,262.0,293.0,False,MEDIUM,10.0,False,Aston Martin,0 days 00:53:13.616000,2025-04-05 03:08:14.642,1,,False,,False,True,90.382,90.382
128,0 days 00:56:16.381000,ALO,14,0 days 00:01:32.383000,13.0,4.0,,,32.566,41.754,18.063,0 days 00:55:16.564000,0 days 00:55:58.318000,0 days 00:56:16.381000,282.0,292.0,264.0,292.0,False,MEDIUM,11.0,False,Aston Martin,0 days 00:54:43.998000,2025-04-05 03:09:45.024,1,,False,,False,True,92.383,92.383
129,0 days 00:57:49.026000,ALO,14,0 days 00:01:32.645000,14.0,4.0,,,32.662,41.914,18.069,0 days 00:56:49.043000,0 days 00:57:30.957000,0 days 00:57:49.026000,276.0,292.0,264.0,293.0,False,MEDIUM,12.0,False,Aston Martin,0 days 00:56:16.381000,2025-04-05 03:11:17.407,1,,False,,False,True,92.645,92.645
130,0 days 00:59:21.460000,ALO,14,0 days 00:01:32.434000,15.0,4.0,,,32.432,41.953,18.049,0 days 00:58:21.458000,0 days 00:59:03.411000,0 days 00:59:21.460000,280.0,293.0,265.0,294.0,False,MEDIUM,13.0,False,Aston Martin,0 days 00:57:49.026000,2025-04-05 03:12:50.052,1,,False,,False,True,92.434,92.434
131,0 days 01:01:00.853000,ALO,14,0 days 00:01:39.393000,16.0,4.0,,0 days 01:00:59.454000,32.506,44.079,22.808,0 days 00:59:53.966000,0 days 01:00:38.045000,0 days 01:01:00.853000,279.0,270.0,,276.0,False,MEDIUM,14.0,False,Aston Martin,0 days 00:59:21.460000,2025-04-05 03:14:22.486,1,,False,,False,False,99.393,99.393
132,0 days 01:09:00.726000,ALO,14,,17.0,5.0,0 days 01:06:44.941000,0 days 01:09:00.726000,,51.221,,,0 days 01:08:16.583000,,253.0,218.0,,204.0,False,SOFT,1.0,True,Aston Martin,0 days 01:01:00.853000,2025-04-05 03:16:01.879,15,,False,,False,False,,
133,0 days 00:31:09.314000,LEC,16,,1.0,1.0,0 days 00:29:11.782000,,,54.189,23.13,,0 days 00:30:46.314000,0 days 00:31:09.314000,262.0,272.0,271.0,273.0,False,SOFT,1.0,True,Ferrari,0 days 00:29:11.782000,2025-04-05 02:44:12.808,1,,False,,False,False,,
